Datetime,Open,High,Low,Close,Volume
2025-04-01 04:00:00,37.33,37.85,37.33,37.85,112
2025-04-01 04:01:00,37.79,37.79,37.5,37.5,582
2025-04-01 04:02:00,37.7,37.7,37.65,37.69,4
2025-04-01 04:03:00,37.69,37.7,37.68,37.68,66
2025-04-01 04:04:00,37.68,37.7,37.68,37.7,340
2025-04-01 04:06:00,37.7,37.7,37.69,37.7,3217
2025-04-01 04:07:00,37.7,37.7,37.7,37.7,66
2025-04-01 04:08:00,37.71,37.71,37.71,37.71,56
2025-04-01 04:09:00,37.72,37.86,37.71,37.86,78
2025-04-01 04:10:00,37.85,38.32,37.85,38.32,595
2025-04-01 04:11:00,38.32,38.32,38.14,38.2,50
2025-04-01 04:12:00,38.2,38.29,38.0,38.0,196
2025-04-01 04:13:00,37.99,37.99,37.95,37.95,281
2025-04-01 04:14:00,37.94,37.94,37.94,37.94,39
2025-04-01 04:15:00,37.95,38.17,37.95,38.17,42
2025-04-01 04:16:00,37.96,37.96,37.96,37.96,100
2025-04-01 04:17:00,38.06,38.07,38.06,38.07,120
2025-04-01 04:18:00,37.95,38.05,37.95,38.05,229
2025-04-01 04:19:00,38.05,38.17,38.05,38.14,1077
2025-04-01 04:20:00,38.15,38.17,38.05,38.05,142
2025-04-01 04:21:00,38.16,38.33,38.15,38.33,3079
2025-04-01 04:22:00,38.48,38.5,38.48,38.49,647
2025-04-01 04:23:00,38.22,38.3,37.98,37.98,512
2025-04-01 04:28:00,38.37,38.37,38.22,38.22,87
2025-04-01 04:29:00,38.22,38.38,38.22,38.37,71
2025-04-01 04:30:00,38.37,38.49,38.37,38.4,142
2025-04-01 04:31:00,38.39,38.39,38.38,38.38,31
2025-04-01 04:32:00,38.39,38.5,38.37,38.41,1771
2025-04-01 04:33:00,38.52,38.53,38.49,38.52,1507
2025-04-01 04:34:00,38.52,38.71,38.52,38.7,1468
2025-04-01 04:35:00,38.65,38.65,38.5,38.5,255
2025-04-01 04:36:00,38.5,38.66,38.5,38.66,505
2025-04-01 04:37:00,38.66,38.7,38.58,38.58,869
2025-04-01 04:38:00,38.6,38.6,38.55,38.6,844
2025-04-01 04:40:00,38.53,38.55,38.5,38.5,223
2025-04-01 04:41:00,38.5,38.5,38.5,38.5,76
2025-04-01 04:42:00,38.51,38.51,38.51,38.51,100
2025-04-01 04:43:00,38.51,38.51,38.51,38.51,3
2025-04-01 04:44:00,38.5,38.5,38.45,38.45,207
2025-04-01 04:45:00,38.45,38.45,38.43,38.43,904
