Datetime,Open,High,Low,Close,Volume
2025-01-02 04:00:00,589.5400,590.0000,588.1400,590.0000,121
2025-01-02 04:01:00,589.9500,591.2000,589.9500,590.1200,117
2025-01-02 04:02:00,590.6900,590.8500,589.9900,590.1400,149
2025-01-02 04:03:00,590.1700,590.8800,590.1300,590.7600,86
2025-01-02 04:04:00,590.9300,590.9300,590.1900,590.9100,36
2025-01-02 04:05:00,590.2200,593.0000,590.2200,592.6100,1674
2025-01-02 04:06:00,592.4400,593.3800,592.4400,593.3800,338
2025-01-02 04:07:00,592.7900,593.2500,591.7300,592.9500,1487
2025-01-02 04:08:00,593.3700,593.5500,593.2500,593.5400,349
2025-01-02 04:09:00,592.7200,592.8400,592.7200,592.8400,7
2025-01-02 04:10:00,593.4400,593.5400,592.9600,593.0000,252
2025-01-02 04:11:00,592.7000,593.1400,592.5200,593.0900,628
2025-01-02 04:12:00,593.1400,593.4300,593.1200,593.4300,58
2025-01-02 04:13:00,593.0400,593.3100,592.9100,593.3100,242
2025-01-02 04:14:00,593.2900,593.4400,593.1700,593.1700,88
2025-01-02 04:15:00,593.1700,593.4400,593.1700,593.4400,96
2025-01-02 04:16:00,593.4200,593.5100,593.4200,593.5100,64
2025-01-02 04:17:00,593.4000,593.5700,593.3900,593.5700,598
2025-01-02 04:18:00,593.6500,593.6900,593.6500,593.6600,53
2025-01-02 04:19:00,593.6000,593.6000,593.6000,593.6000,1
2025-01-02 04:20:00,593.6900,593.8800,593.6000,593.6200,409
2025-01-02 04:21:00,593.8300,593.8700,593.7300,593.8300,86
2025-01-02 04:22:00,593.4900,593.6200,593.4900,593.6200,37
2025-01-02 04:23:00,593.6100,593.8100,593.6100,593.6100,29
2025-01-02 04:24:00,593.7600,593.7600,593.1700,593.4000,385
2025-01-02 04:25:00,593.5300,593.6500,593.5000,593.6500,12
2025-01-02 04:26:00,593.0900,593.4300,593.0700,593.3600,125
2025-01-02 04:27:00,593.4100,593.5800,593.0000,593.4300,87
2025-01-02 04:28:00,593.0000,593.4300,592.8700,593.0000,124
2025-01-02 04:29:00,593.0200,593.0200,593.0200,593.0200,2
2025-01-02 04:30:00,593.4000,593.4000,593.0500,593.0500,3
2025-01-02 04:31:00,593.0000,593.4000,593.0000,593.4000,25
2025-01-02 04:32:00,593.3900,593.4000,593.3900,593.4000,3
2025-01-02 04:33:00,593.1000,593.1000,593.0000,593.0000,50
2025-01-02 04:34:00,593.3800,593.3800,593.3600,593.3800,6
2025-01-02 04:35:00,593.4000,593.4000,593.3000,593.3000,52
2025-01-02 04:36:00,593.1000,593.2700,593.1000,593.1000,35
2025-01-02 04:37:00,593.1500,593.1500,592.5900,592.5900,210
2025-01-02 04:38:00,592.8400,593.0500,592.7800,592.7800,230
2025-01-02 04:39:00,592.7600,592.8700,592.5300,592.8700,343
2025-01-02 04:40:00,592.8500,592.9200,592.8200,592.9200,39
2025-01-02 04:41:00,592.7400,592.7400,592.7300,592.7300,26
2025-01-02 04:42:00,592.7300,592.7400,592.5300,592.7400,79
2025-01-02 04:43:00,592.6000,592.8500,592.6000,592.8500,57
2025-01-02 04:44:00,592.8900,593.0000,592.7500,592.8600,352
2025-01-02 04:45:00,592.9200,592.9200,592.9200,592.9200,3
2025-01-02 04:46:00,592.7700,592.8000,592.7100,592.7700,77
2025-01-02 04:47:00,592.7700,592.8500,592.6800,592.7700,20
2025-01-02 04:48:00,592.7500,592.7500,592.6800,592.6800,74
2025-01-02 04:49:00,592.6800,592.7000,592.6800,592.7000,49
2025-01-02 04:50:00,592.6000,592.6900,592.6000,592.6900,30
2025-01-02 04:51:00,592.6800,592.6900,592.6000,592.6900,287
2025-01-02 04:52:00,592.6800,592.6900,592.6800,592.6800,96
2025-01-02 04:53:00,592.6500,592.7200,592.5600,592.5600,55
2025-01-02 04:54:00,592.5200,592.6400,592.5200,592.5700,110
2025-01-02 04:55:00,592.6300,592.7300,592.0300,592.0300,800
2025-01-02 04:56:00,592.3800,592.5500,592.3800,592.5000,61
2025-01-02 04:57:00,592.4600,592.4600,592.4400,592.4400,9
2025-01-02 04:58:00,592.3800,592.3800,591.8000,591.8000,686
2025-01-02 04:59:00,592.3000,592.4500,592.0100,592.4500,6
2025-01-02 05:00:00,592.1300,592.1300,592.1300,592.1300,2
2025-01-02 05:01:00,592.4500,592.5100,592.0300,592.0500,214
2025-01-02 05:02:00,592.0700,592.4000,592.0700,592.4000,53
2025-01-02 05:03:00,592.1000,592.1000,592.1000,592.1000,18
2025-01-02 05:04:00,592.3800,592.5300,592.3600,592.5300,58
2025-01-02 05:05:00,592.4000,592.4000,592.1600,592.1600,10
2025-01-02 05:06:00,592.1600,592.1600,592.1600,592.1600,10
2025-01-02 05:07:00,592.1800,592.1800,591.9700,591.9800,1061
2025-01-02 05:08:00,591.9800,592.0000,591.8100,591.8100,628
2025-01-02 05:09:00,591.8000,591.8000,591.5400,591.7200,150
2025-01-02 05:10:00,591.7700,591.7700,591.4800,591.5000,49
2025-01-02 05:11:00,591.5000,591.5500,591.3100,591.5500,130
2025-01-02 05:12:00,591.5800,591.5800,591.3600,591.3600,39
2025-01-02 05:13:00,591.3500,591.3500,591.3000,591.3100,472
2025-01-02 05:14:00,591.2800,591.2800,590.5000,590.7900,775
2025-01-02 05:15:00,590.7900,590.7900,590.7000,590.7900,129
2025-01-02 05:16:00,590.4500,590.6000,590.4500,590.6000,48
2025-01-02 05:17:00,590.5800,590.7000,590.5000,590.7000,40
2025-01-02 05:18:00,590.8000,591.2300,590.8000,590.9500,323
2025-01-02 05:19:00,591.0200,591.0200,591.0200,591.0200,19
2025-01-02 05:20:00,591.5000,591.5000,590.6400,590.6400,122
2025-01-02 05:21:00,590.8000,590.8000,590.7000,590.7000,14
2025-01-02 05:22:00,591.3800,591.3800,591.3700,591.3700,21
2025-01-02 05:23:00,591.2500,591.7500,591.2500,591.4800,515
2025-01-02 05:24:00,591.4800,591.7000,591.4800,591.7000,71
2025-01-02 05:25:00,591.6900,591.6900,591.6900,591.6900,2
2025-01-02 05:26:00,591.6900,592.0000,591.6900,592.0000,54
2025-01-02 05:27:00,592.0000,592.3900,591.7100,592.1100,63
2025-01-02 05:28:00,592.0000,592.3900,592.0000,592.3400,6
2025-01-02 05:29:00,592.3400,592.3400,592.3400,592.3400,1
2025-01-02 05:30:00,592.0200,592.0200,591.3500,591.6900,375
2025-01-02 05:32:00,591.4400,591.5700,591.3200,591.5700,105
2025-01-02 05:34:00,591.5900,591.5900,591.5900,591.5900,19
2025-01-02 05:35:00,591.5900,592.3100,591.5900,592.0400,416
2025-01-02 05:36:00,592.4000,592.4000,592.4000,592.4000,11
2025-01-02 05:37:00,592.3900,592.4000,592.3900,592.4000,15
2025-01-02 05:39:00,592.0600,592.0600,592.0500,592.0500,10
2025-01-02 05:40:00,592.2000,592.2000,592.2000,592.2000,1
2025-01-02 05:41:00,592.0600,592.0700,591.9700,591.9700,34
2025-01-02 05:43:00,591.9100,591.9100,591.9100,591.9100,2
2025-01-02 05:45:00,591.8800,591.8800,591.7200,591.7200,2
2025-01-02 05:46:00,591.8100,591.8100,591.8000,591.8000,63
2025-01-02 05:47:00,591.9100,591.9100,591.8500,591.8500,12
2025-01-02 05:48:00,591.7000,591.9500,591.6800,591.6900,87
2025-01-02 05:50:00,591.8500,591.8500,591.8200,591.8300,5
2025-01-02 05:51:00,591.6700,591.7200,591.6700,591.7000,137
2025-01-02 05:52:00,591.7000,591.7300,591.5800,591.5800,52
2025-01-02 05:53:00,591.5800,591.7100,591.5800,591.7100,15
2025-01-02 05:54:00,591.6800,591.7300,591.6800,591.7300,14
2025-01-02 05:55:00,591.7100,591.7300,591.4800,591.4800,1055
2025-01-02 05:56:00,591.6700,591.6700,591.6700,591.6700,2
2025-01-02 05:57:00,591.5000,591.7400,591.4900,591.7400,59
