Datetime,Open,High,Low,Close,Volume
2025-01-02 04:00:00,408.0000,411.9700,406.1000,411.8400,42018
2025-01-02 04:01:00,411.8600,412.4600,411.2000,412.0700,41642
2025-01-02 04:02:00,412.1800,412.1800,409.5000,409.8900,36889
2025-01-02 04:03:00,409.8900,410.0000,407.9000,408.3500,30469
2025-01-02 04:04:00,408.3100,410.3100,408.3100,409.4500,22542
2025-01-02 04:05:00,409.3900,410.3200,409.1000,410.0000,29165
2025-01-02 04:06:00,410.0000,410.3100,409.8200,410.2900,15033
2025-01-02 04:07:00,410.2900,410.2900,408.7200,409.6800,39342
2025-01-02 04:08:00,409.6900,409.9500,408.5000,408.8200,14008
2025-01-02 04:09:00,409.0000,409.0200,408.5000,408.9800,8074
2025-01-02 04:10:00,409.0000,409.2400,407.6500,407.7700,25378
2025-01-02 04:11:00,407.9500,408.6400,407.3500,408.4500,15852
2025-01-02 04:12:00,408.5200,409.0000,408.5200,408.8400,10118
2025-01-02 04:13:00,408.8000,408.8900,408.3600,408.6000,5568
2025-01-02 04:14:00,408.5700,409.8900,408.5100,409.4500,16801
2025-01-02 04:15:00,409.6000,409.7000,409.1000,409.3600,5494
2025-01-02 04:16:00,409.3600,409.6700,409.2000,409.6200,5295
2025-01-02 04:17:00,409.5700,410.2500,409.5700,410.0900,12686
2025-01-02 04:18:00,410.0800,410.2000,409.4700,410.0800,6546
2025-01-02 04:19:00,410.1200,410.7000,410.0000,410.6600,8305
2025-01-02 04:20:00,410.6700,410.7000,410.0100,410.0700,8480
2025-01-02 04:21:00,410.0400,410.2000,409.4400,409.5000,5166
2025-01-02 04:22:00,409.6100,409.6900,409.0000,409.0800,6468
2025-01-02 04:23:00,409.1100,409.5100,409.0600,409.5100,4229
2025-01-02 04:24:00,409.4800,409.5500,409.1700,409.2300,2322
2025-01-02 04:25:00,409.1500,409.2100,408.4000,408.7300,9379
2025-01-02 04:26:00,408.7300,408.8000,408.3000,408.6700,14310
2025-01-02 04:27:00,408.7300,408.8000,408.2500,408.3700,6638
2025-01-02 04:28:00,408.3300,408.5400,407.8900,407.9400,11875
2025-01-02 04:29:00,407.9500,408.4000,407.7300,408.3800,8727
2025-01-02 04:30:00,408.4000,408.9600,408.3800,408.6900,6900
2025-01-02 04:31:00,408.5000,408.5100,408.0600,408.3300,2353
2025-01-02 04:32:00,408.3300,408.7800,408.2000,408.2100,3593
2025-01-02 04:33:00,408.2800,408.5000,408.1800,408.2900,4407
2025-01-02 04:34:00,408.3000,408.7000,408.1800,408.7000,5416
2025-01-02 04:35:00,408.7500,409.1200,408.6400,408.8300,3628
2025-01-02 04:36:00,408.8000,409.2400,408.6100,409.2000,7097
2025-01-02 04:37:00,409.1900,409.6800,408.9400,409.5300,6161
2025-01-02 04:38:00,409.5500,409.8600,409.2800,409.5000,6654
2025-01-02 04:39:00,409.4200,409.5500,409.0000,409.2100,5137
2025-01-02 04:40:00,409.2300,409.2300,408.7500,408.8000,3087
2025-01-02 04:41:00,408.8000,408.9600,408.3500,408.3600,6700
2025-01-02 04:42:00,408.3500,409.0300,408.3500,409.0300,3433
2025-01-02 04:43:00,408.9700,409.2500,408.7000,409.1400,7167
2025-01-02 04:44:00,409.0000,409.1800,408.8400,408.9000,1055
2025-01-02 04:45:00,408.8900,409.1500,408.7600,409.1500,3738
2025-01-02 04:46:00,409.1100,409.4600,409.1100,409.4100,2213
2025-01-02 04:47:00,409.3800,409.5200,409.2000,409.4600,3325
2025-01-02 04:48:00,409.4600,409.5000,409.3600,409.4100,2496
2025-01-02 04:49:00,409.4100,409.4400,409.1800,409.3400,2058
2025-01-02 04:50:00,409.3500,409.4100,409.2300,409.3000,4597
2025-01-02 04:51:00,409.3000,409.3200,408.8400,408.8500,6333
2025-01-02 04:52:00,408.8100,408.9000,408.5900,408.6600,1985
2025-01-02 04:53:00,408.6600,408.8700,408.5500,408.5500,5210
2025-01-02 04:54:00,408.5400,408.5400,408.1200,408.2000,10920
2025-01-02 04:55:00,408.3000,408.5400,408.2400,408.5000,2819
